t [s]	neMax [m-3]	ne [10^19 m-3]	TeMax [keV]	Ell [V/m]	Zeff [1]	ED [V/m]	Ell/ED [1]	Spri [a.u.]	int(Spri) [a.u.]
3.60475E-4	5.88353585266683E19	5.88353585266683	-0.324748632668179	1.809836807299	4.7887	-84.9723244932865	-0.0212991326068994	--	0
0.0014419	5.93826894796187E19	5.93826894796187	-0.295795991097139	1.83848144120289	4.8106	-94.1573019166239	-0.0195256385195794	--	1.4638945255717E-50
0.0025233	5.9924669120601E19	5.9924669120601	-0.267133120063358	1.8661937480544	4.8326	-105.211771698741	-0.0177374995014623	--	2.53906007790814E-19
0.0036047	6.0461297449615E19	6.0461297449615	-0.238760019566837	1.8929737278535	4.8545	-118.768776492532	-0.0159383112612305	--	2.96375351303435E-7
0.0043257	6.09925744666609E19	6.09925744666609	-0.210676689607575	1.91882138060021	4.8765	-135.783470714147	-0.0141314798517688	--	0.623593053172996
0.0054071	6.15185001717386E19	6.15185001717386	-0.182883130185572	1.94373670629453	4.8985	-157.767854009241	-0.0123202329048646	--	3659.05743402457
0.0064885	6.20390745648481E19	6.20390745648481	-0.155379341300829	1.96771970493645	4.9204	-187.265795869941	-0.0105076300548931	--	2776260.56049736
0.00756995	6.25542976459894E19	6.25542976459894	-0.128165322953344	1.99077037652598	4.9424	-228.914362458969	-0.0086965726184298	--	263687741.602646
0.0086514	6.30641694151625E19	6.30641694151625	-0.10124107514312	2.01288872106312	4.9643	-292.154350300558	-0.00688981259047598	--	8682397527.39156
0.0093723	6.35686898723675E19	6.35686898723675	-0.0746065978701542	2.03407473854785	4.9863	-399.624817086589	-0.00508996101237407	--	140371571942.616
0.0104535	6.40678590176043E19	6.40678590176043	-0.0482618911344481	2.0543284289802	5.0082	-622.618902250176	-0.00329949576146139	--	960441500774.278
0.011535	6.45616768508729E19	6.45616768508729	-0.0222069549360012	2.07364979236015	5.0302	-1363.55360622099	-0.00152076880798779	--	8785758071153.47
0.0126165	6.50501433721733E19	6.50501433721733	0.00355821072518625	2.0920388286877	5.0521	8574.38578157512	2.4398701924319E-4	0	45869015316321.1
0.013698	6.55332585815055E19	6.55332585815055	0.0290336058491144	2.10949553796286	5.0741	1058.63735043871	0.00199265172071312	2.70715584941598E-47	185214309230758
0.014419	6.60110224788696E19	6.60110224788696	0.0542192304357833	2.12601992018562	5.096	571.017655489406	0.00372321223301486	7.04316249072995E-16	619869059036548
0.0155005	6.64834350642654E19	6.64834350642654	0.0791150844851928	2.14161197535599	5.118	394.130986284909	0.00543375692315617	5.48082018128155E-4	1.39626019538661E15
0.016582	6.69504963376931E19	6.69504963376931	0.103721167997343	2.15627170347397	5.1399	302.742106292507	0.00712247044152686	1153.19918709624	4.14815985996107E15
0.017303	6.74122062991526E19	6.74122062991526	0.128037480972234	2.16999910453955	5.1619	246.9379541929	0.00878762890715621	10147068.2736878	1.00014012603665E16
0.0183845	6.78685649486439E19	6.78685649486439	0.152064023409865	2.18279417855273	5.1838	209.328622236635	0.0104275954010971	5117178873.59101	1.75950457097388E16
0.019466	6.8319572286167E19	6.8319572286167	0.175800795310238	2.19465692551352	5.2058	182.268126333788	0.012040815745779	477382092586.693	3.8139144533809E16
0.020547	6.8765228311722E19	6.8765228311722	0.199247796673351	2.20558734542192	5.2277	161.868293255412	0.0136258145499917	15098399194719.4	7.28469432775865E16
0.021628	6.92055330253087E19	6.92055330253087	0.222405027499204	2.21558543827792	5.2497	145.942789678854	0.0151811915008155	228544846716889	1.28242963497317E17
0.022349	6.96404864269273E19	6.96404864269273	0.245272487787798	2.22465120408153	5.2716	133.167849244076	0.0167056178853208	2.04626771592294E15	2.12292921396743E17
0.0234305	7.00700885165777E19	7.00700885165777	0.267850177539133	2.23278464283274	5.2936	122.695081486148	0.0181978333262267	1.24249603384075E16	2.93812576805664E17
0.024512	7.04943392942599E19	7.04943392942599	0.290138096753209	2.23998575453155	5.3155	113.955663069488	0.0196566427169631	5.6152491802448E16	4.64764995545952E17
0.0255935	7.0913238759974E19	7.0913238759974	0.312136245430025	2.24625453917798	5.3375	106.553947765944	0.0210809133427144	2.01536447475291E17	6.95596199310706E17
0.026675	7.13267869137198E19	7.13267869137198	0.333844623569582	2.251590996772	5.3594	100.206224632529	0.0224695721750711	6.02263367237216E17	9.97692720032892E17
0.027396	7.17349837554975E19	7.17349837554975	0.35526323117188	2.25599512731363	5.3814	94.7037483652637	0.0238216033288616	1.55138749642452E18	1.38203321546178E18
