t [s]	neMax [m^-3]	ne [10^19 m^-3]	TeMax [keV]	Zeff [s]	Ell [V/m]	ED [V/m]	Ell/ED [1]	Spri [a.u.]	Integrated Spri [a.u.]
3.49315E-4	8.09900000000002E19	8.09900000000002	0.580922788788302	3.4987	2.82995665602386	65.388204353852	0.0432793144266416	2.1141320783768E22	0
0.0013973	8.09900000000002E19	8.09900000000002	0.611913657686979	3.484	2.79058068072346	62.076565132871	0.0449538513406854	2.75515355014653E22	2.55146914970401E19
0.0024452	8.09900000000002E19	8.09900000000002	0.642627459141276	3.4693	2.75158857816702	59.1096715317113	0.0465505645161781	3.46649373975012E22	5.81130124724536E19
0.0034932	8.09900000000002E19	8.09900000000002	0.673064193151194	3.4545	2.71298034835456	56.4366644573027	0.0480712383420015	4.23265327285447E22	9.84565428185016E19
0.0045411	8.09900000000002E19	8.09900000000002	0.703223859716731	3.4398	2.67475599128607	54.0162247088718	0.0495176404071564	5.03561049353003E22	1.47017610822473E20
0.0055891	8.09900000000002E19	8.09900000000002	0.733106458837888	3.4251	2.63691550696155	51.8144364562185	0.0508915215007628	5.85765371704509E22	2.04098315285887E20
0.006637	8.09900000000002E19	8.09900000000002	0.762711990514665	3.4104	2.599458895381	49.8032002898855	0.0521946156120598	6.68124373770101E22	2.69795868500029E20
0.007685	8.09900000000002E19	8.09900000000002	0.792040454747062	3.3957	2.56238615654442	47.9590376974238	0.0534286399304058	7.4899958829601E22	3.44053164112293E20
0.0083836	8.09900000000002E19	8.09900000000002	0.821091851535079	3.381	2.52569729045181	46.2621787758373	0.0545952948452782	8.26919178110891E22	3.99100006622886E20
0.00943155	8.09900000000002E19	8.09900000000002	0.849866180878716	3.3663	2.48939229710317	44.6958578676753	0.0556962639462735	9.00610100603268E22	4.89618222004312E20
0.010479	8.09900000000002E19	8.09900000000002	0.878363442777973	3.3516	2.4534711764985	43.2457638571154	0.0567332140231076	9.69014283485724E22	5.87535125060012E20
0.0115275	8.09900000000002E19	8.09900000000002	0.906583637232849	3.3369	2.4179339286378	41.899606905593	0.0577077950656154	1.03129205561659E23	6.92401184887451E20
0.012575	8.09900000000002E19	8.09900000000002	0.934526764243346	3.3222	2.38278055352107	40.6467738330155	0.0586216402637508	1.08681593538419E23	8.03337090916117E20
0.0136235	8.09900000000002E19	8.09900000000002	0.962192823809462	3.3074	2.34801105114832	39.4780516827271	0.0594763660075871	1.13522852228658E23	9.19827771609507E20
0.014671	8.09900000000001E19	8.09900000000001	0.989581815931199	3.2927	2.31362542151953	38.3854042339638	0.0602735718873167	1.17614280971704E23	1.0408858451232E21
0.01537	8.09900000000001E19	8.09900000000001	1.01669374060856	3.278	2.27962366463471	37.3617899962307	0.061014840693251	1.20954171240391E23	1.12426551917132E21
0.016418	8.09900000000001E19	8.09900000000001	1.04352859784153	3.2633	2.24600578049387	36.4010129723991	0.0617017384158207	1.23547921045545E23	1.25238461552915E21
0.017466	8.09900000000001E19	8.09900000000001	1.07008638763013	3.2486	2.21277176909699	35.4975995080396	0.0623358142455756	1.25412747308527E23	1.38284000574669E21
0.0185135	8.09900000000001E19	8.09900000000001	1.09636710997434	3.2339	2.17992163044409	34.646696057845	0.0629186005731847	1.26575606302308E23	1.51481890595036E21
0.019562	8.09900000000001E19	8.09900000000001	1.12237076487418	3.2192	2.14745536453515	33.8439838384042	0.0634516129894361	1.2707124182754E23	1.64779326608243E21
0.0206095	8.09900000000001E19	8.09900000000001	1.14809735232964	3.2045	2.11537297137019	33.0856072004884	0.0639363502852371	1.26940395382663E23	1.78083186107128E21
0.021658	8.09900000000001E19	8.09900000000001	1.17354687234071	3.1898	2.08367445094919	32.368113215056	0.064374294451614	1.26228197052127E23	1.91355549565522E21
0.022356	8.09900000000001E19	8.09900000000001	1.19871932490741	3.1751	2.05235980327217	31.6884004769283	0.0647669106797124	1.24982744202602E23	2.00122811415312E21
0.0234045	8.09900000000001E19	8.09900000000001	1.22361471002972	3.1603	2.02142902833912	31.0436755260783	0.0651156473607971	1.23261134816574E23	2.13136996772892E21
0.024452	8.09900000000001E19	8.09900000000001	1.24823302770766	3.1456	1.99088212615004	30.4314155962194	0.0654219360862519	1.2109919532217E23	2.25935369063909E21
0.0255	8.09900000000001E19	8.09900000000001	1.27257427794122	3.1309	1.96071909670492	29.8493366442644	0.0656871916475798	1.18554615758553E23	2.38493228764539E21
0.026548	8.09900000000001E19	8.09900000000001	1.29663846073039	3.1162	1.93093994000378	29.2953658074449	0.065912812036403	1.15676751380246E23	2.50766952402612E21
0.027596	8.09900000000001E19	8.09900000000001	1.32042557607519	3.1015	1.90154465604661	28.7676175888736	0.0661001784444629	1.12513421225606E23	2.62724117447158E21
0.028644	8.09900000000001E19	8.09900000000001	1.3439356239756	3.0868	1.87253324483341	28.2643731957422	0.0662506552636198	1.0911044046746E23	2.74337207799875E21
0.029343	8.09900000000001E19	8.09900000000001	1.36716860443164	3.0721	1.84390570636418	27.7840625537847	0.0663655900858534	1.055112630572E23	2.81838236338062E21
0.0303905	8.09900000000001E19	8.09900000000001	1.39012451744329	3.0574	1.81566204063892	27.3252486021624	0.0664463137032626	1.01756720523553E23	2.92693896978104E21
0.031438	8.09900000000001E19	8.09900000000001	1.41280336301057	3.0427	1.78780224765763	26.8866135384581	0.0664941401080651	9.7884843677881E22	3.03150123903154E21
