t [s]	neMax [m^-3]	ne [10^19 m^-3]	TeMax [keV]	Zeff [1]	Ell [V/m]	ED [V/m]	Ell/ED [1]	Spri [a.u.]	int(Spri) [a.u.]
0.0343995	7.97399999999999E19	7.97399999999999	0.706944620624592	15.099	2.22792005382553	52.9026299939041	0.0421135972650556	6.12133949546075E18	7.34009732599432E18
0.035474	7.97399999999999E19	7.97399999999999	0.808145541563339	15.063	2.2050526878874	46.2778395321414	0.0476481337542977	2.76374567165647E19	1.04188174171274E19
0.036548	7.97399999999999E19	7.97399999999999	0.906858422845075	15.026	2.18125963232409	41.2404282178376	0.0528912944551006	8.71615187016908E19	1.40456963423531E19
0.037623	7.97399999999999E19	7.97399999999999	1.0030832644698	14.99	2.15654088713559	37.2842724186529	0.0578404980770576	2.13711806167489E20	1.81644572916712E19
0.038339	7.97399999999999E19	7.97399999999999	1.09682006643752	14.954	2.1308964523219	34.0978715064511	0.0624935328270781	4.36208229418239E20	2.26807370758503E19
0.0394135	7.97399999999999E19	7.97399999999999	1.18806882874823	14.918	2.10432632788302	31.4790092847468	0.0668485564093871	7.75186486174317E20	2.58847685214378E19
0.040488	7.97399999999999E19	7.97399999999999	1.27682955140192	14.881	2.07683051381896	29.2906987076078	0.0709040960255255	1.23742753003081E21	3.08820987107145E19
0.041562	7.97399999999999E19	7.97399999999999	1.36310223439861	14.845	2.02443269995493	27.4368486436998	0.0737851757774592	1.58612531360212E21	3.59873580192729E19
0.042637	7.97399999999999E19	7.97399999999999	1.44688687773829	14.809	1.98428891656802	25.8480675072156	0.0767673991881248	2.04411334044517E21	4.09890819424482E19
0.043353	7.97399999999999E19	7.97399999999999	1.52818348142096	14.773	1.95122052070837	24.4729969573474	0.0797295290032944	2.59915588816417E21	4.5640016339705E19
0.044427	7.97399999999999E19	7.97399999999999	1.60699204544662	14.736	1.91654937885656	23.2728156913121	0.0823514182502644	3.13402863908552E21	4.84372522427756E19
0.045502	7.97399999999999E19	7.97399999999999	1.68331256981527	14.7	1.88069001823386	22.2176382222275	0.0846485121155828	3.61365308226462E21	5.20903788746135E19
0.046576	7.974E19	7.97399999999999	1.75714505452691	14.664	1.84588020493536	21.2840878416569	0.0867258309901649	4.0562928196312E21	5.51209399625897E19
0.04765	7.974E19	7.97399999999999	1.82848949958154	14.627	1.80812121712658	20.4536201600517	0.0884010362458012	4.35391162018093E21	5.75961112193585E19
0.048367	7.97399999999999E19	7.97399999999999	1.89734590497916	14.591	1.77151556238002	19.7113397156195	0.0898729151817238	4.5834145878735E21	5.96303119593683E19
0.049441	7.97399999999999E19	7.97399999999999	1.96371427071977	14.555	1.73518139493053	19.0451483949219	0.0911088408947862	4.72260066217621E21	6.07335532878875E19
0.050515	7.97399999999999E19	7.97399999999999	2.02759459680337	14.519	1.69954492896274	18.4451219933442	0.0921406174258974	4.78439991242049E21	6.20529800904591E19
0.05159	7.97399999999999E19	7.97399999999999	2.07504251089575	14.482	1.66260978553687	18.0233559046168	0.0922475145214762	4.52113296790559E21	6.30790542229981E19
0.052664	7.974E19	7.97399999999999	2.11952515471353	14.446	1.62341571300902	17.6450982937914	0.0920037783853113	4.13982494132502E21	6.38601641370932E19
0.05338	7.974E19	7.97399999999999	2.16109839384327	14.41	1.58203603584413	17.3056579920794	0.0914172715402213	3.67368316781058E21	6.44297032779514E19
0.054455	7.974E19	7.97399999999999	2.19973311284915	14.373	1.53685191040025	17.001712377118	0.0903939483453819	3.12283149607395E21	6.46985041949058E19
0.055529	7.974E19	7.97399999999999	2.2355181526541	14.337	1.4871161316488	16.7295575957108	0.08889153960832	2.52067146105127E21	6.49811260275241E19
0.056604	7.97399999999999E19	7.97399999999999	2.26854627204856	14.301	1.44408889388315	16.4859893544561	0.0875949184992539	2.08429831898365E21	6.51735923540651E19
0.057678	7.97399999999999E19	7.97399999999999	2.29891400058841	14.265	1.40226514826265	16.268216071376	0.0861966144357978	1.70378499574596E21	6.53002567476245E19
0.058394	7.974E19	7.97399999999999	2.32674298150592	14.228	1.36163795397022	16.0736402724113	0.0847124814848154	1.3778946928552E21	6.53819695688449E19
0.059469	7.974E19	7.974	2.35227954875488	14.192	1.31928085988593	15.8991433271101	0.0829781097473586	1.07685284681289E21	6.54154800514977E19
0.060543	7.974E19	7.974	2.37561671920979	14.156	1.27845939501859	15.7429560874298	0.0812083440948802	8.33899727747598E20	6.54448014432155E19
0.0616175	7.974E19	7.974	2.39684879812642	14.12	1.23557895069303	15.6034997786753	0.079186013921162	6.20004253816165E20	6.54617449111527E19
0.062692	7.974E19	7.974	2.41607434943883	14.083	1.19049197957388	15.4793372562274	0.076908459313718	4.40096520233406E20	6.5468078418343E19
0.063408	7.974E19	7.974	2.43339068773285	14.047	1.14793086234991	15.3691841920904	0.0746904226016549	3.10744029918761E20	6.54731964967541E19
0.0644825	7.974E19	7.974	2.44886195184955	14.011	1.10642096253826	15.2720857387805	0.0724472728521109	2.15308706457635E20	6.54758726062542E19
0.065557	7.974E19	7.974	2.46260932682006	13.974	1.06387708279681	15.1868301982666	0.0700526093271422	1.42934805019407E20	6.54772553276334E19
0.066631	7.974E19	7.974	2.47475361812298	13.938	1.02261437122094	15.112304278375	0.0676676668484144	9.29392984431044E19	6.54779493879137E19
0.067706	7.974E19	7.974	2.48541978213744	13.902	0.982502523149792	15.047449915652	0.0652936230827934	5.9084554990167E19	6.54781672768252E19
0.068422	7.974E19	7.974	2.49476957057259	13.866	0.939165340485821	14.9910557400698	0.0626483789247419	3.45201451575037E19	6.5478318532927E19
0.069496	7.974E19	7.974	2.50305049419894	13.829	0.898836896789949	14.9414603411957	0.060157232041886	2.00820740562938E19	6.54783860745928E19
0.070571	7.974E19	7.974	2.51038814208023	13.793	0.860267026866667	14.8977877421349	0.0577446156272988	1.14406569896322E19	6.54784147701507E19
0.071287	7.974E19	7.974	2.51690958391373	13.757	0.822203232685204	14.8591868099326	0.0553329898333067	6.25070387695178E18	6.54784269759195E19
0.072361	7.974E19	7.974	2.52274790939677	13.72	0.78491983963484	14.8247986062256	0.0529464082773587	3.28016839713447E18	6.54784305442427E19
0.073436	7.974E19	7.974	2.52810284853145	13.684	0.749916517540837	14.7933972357211	0.0506926506191588	1.69863997503659E18	6.54784328714007E19
