time	neMax	n	TeMax	Ell	Zeff	ED	Ell/ED	a	b	c	d	Spri	Integrated Spri
3.54005E-4	3.84210000000002E19	3.84210000000002	0.134236457345449	2.13874637092238	9.4411	134.240823594292	0.0159321606770396	2.06382668308586E15	3306.87744015983	1.16794574580748E-18	0.663145549519015	5.28594756711664	0
0.001416	3.84210000000002E19	3.84210000000002	0.14712399896704	2.15298588106307	9.4205	122.481802540387	0.017578006172412	1.79541449504798E15	2685.68549376464	1.77507451369966E-17	0.682262418214463	58.396647884233	0.033815298978178
0.002478	3.84210000000002E19	3.84210000000002	0.159979215215808	2.16673046541843	9.3999	112.639711140754	0.0192359376943972	1.58053563456666E15	2217.92456875294	1.80937891583642E-16	0.699038559229008	443.385739777396	0.300261746826503
0.00354	3.84210000000002E19	3.84210000000002	0.172802106091754	2.17998012398849	9.3792	104.281209286101	0.0209048220567486	1.40533682322718E15	1857.66900367862	1.34659680018843E-15	0.713891370641553	2509.68070171238	1.86834002725757
0.00460205	3.84210000000002E19	3.84210000000002	0.185592671594876	2.19273485677323	9.3586	97.0944188452029	0.0225835314001837	1.26028703863342E15	1575.16913881185	7.78315374476747E-15	0.727139376646239	11234.9187792847	9.16706596665403
0.0056641	3.84210000000002E19	3.84210000000002	0.198350911725176	2.20499466377265	9.338	90.849154328066	0.0242709431923844	1.1385829703118E15	1349.91883670494	3.65999017247314E-14	0.739034007264518	41573.509125633	37.2096613948629
0.0063721	3.84210000000002E19	3.84210000000002	0.211076826482653	2.21675954498676	9.3173	85.3718188335282	0.0259659402279967	1.03527352137412E15	1167.68432269288	1.45096142705449E-13	0.749775239787866	131512.646495615	98.4821604847847
0.0074341	3.84210000000002E19	3.84210000000002	0.223770415867307	2.22802950041556	9.2967	80.5290213212043	0.0276674106286312	946704172085634	1018.5545002708	4.98413087738359E-13	0.759522097476743	365029.879084643	362.146241567902
0.0084961	3.84210000000002E19	3.84210000000002	0.236431679879138	2.23880453005903	9.2761	76.2165738518831	0.0293742478428623	870082991324330	895.104582822526	1.51637813917111E-12	0.768406402634997	907471.405723264	1037.8444238009
0.0095581	3.84210000000002E19	3.84210000000002	0.249060618518146	2.2490846339172	9.2554	72.3519145565768	0.0310853506462291	803261794027588	791.855004179878	4.15866674064546E-12	0.776536980879319	2054087.96700427	2610.43245071922
0.01062	3.84210000000002E19	3.84210000000002	0.261657231784332	2.25886981199005	9.2348	68.8687733472847	0.0327996231412348	744583688977665	704.83063608749	1.04262172195389E-11	0.784002449928819	4289853.68262732	5978.74826959112
0.011328	3.84210000000002E19	3.84210000000002	0.274221519677695	2.26816006427759	9.2142	65.7133423066609	0.0345159747573466	692718482924414	630.854199517886	2.41788108936667E-11	0.790879253144567	8356624.6483338	10455.6015987513
0.01239	3.84210000000001E19	3.84210000000001	0.286753482198235	2.27695539077981	9.1935	62.8414778167392	0.0362333202509965	646602034993986	567.47875794582	5.2374312726102E-11	0.797232216642647	15321096.7171981	23028.4716438488
0.013452	3.84210000000001E19	3.84210000000001	0.299253119345952	2.28525579149671	9.1729	60.2166240733519	0.0379505797055804	605390414619345	512.891422791476	1.06812506010414E-10	0.80311472366738	26635488.6772578	45307.4184883048
0.014514	3.84210000000002E19	3.84210000000002	0.311720431120846	2.29306126642831	9.1523	57.8082499297173	0.0396666785314585	568378469340325	465.559570247663	2.06514161708821E-10	0.80857450284298	44185803.60657	82913.5246910174
0.015576	3.84210000000001E19	3.84210000000001	0.324155417522917	2.30037181557458	9.1316	55.5906568772959	0.0413805474659554	534985615759035	424.265402421181	3.80764586930899E-10	0.81365285404909	70319443.5032862	143715.810906351
0.016638	3.84210000000001E19	3.84210000000001	0.336558078552166	2.30718743893554	9.111	53.5420592723643	0.0430911225733598	504743724123551	388.100912224622	6.72716365152691E-10	0.818383820259959	107846143.281537	238321.737489092
0.0177	3.84210000000001E19	3.84210000000001	0.348928414208592	2.31350813651119	9.0904	51.643866926987	0.0447973452449249	477247717468408	356.256874075568	1.14384707732333E-9	0.822798924616071	160017984.197832	380557.589180638
0.018408	3.84210000000001E19	3.84210000000001	0.361266424492194	2.31933390830152	9.0697	49.8801199579022	0.0464981621988679	452156618935062	328.074779684179	1.87890501286128E-9	0.826925872864362	230479946.252252	518793.856559968
0.01947	3.84210000000001E19	3.84210000000001	0.373572109402974	2.32466475430654	9.0491	48.2370394814319	0.0481925254803704	429193340929338	303.066481966825	2.99074249950477E-9	0.830787312148585	323191373.592914	812793.327397751
