t	n	neMax	TeMax	Ell	Zeff	ED	EllED	10	20	30	40	Spri	intSpri
3.60475E-4	8.14020000000001	8.14020000000001E19	-0.685035039652169	3.04402735835295	29.876	-55.7325244122332	-0.0546185085003038	--	--	--	--	--	0
0.0014419	8.14020000000001	8.14020000000001E19	-0.622977375537762	2.9864595689177	29.586	-61.2842995103848	-0.0487312344724057	--	--	--	--	--	1.56520529750221E-29
0.0025233	8.14020000000001	8.14020000000001E19	-0.561544795768493	2.92956459628829	29.296	-67.9887559431493	-0.0430889572201899	--	--	--	--	--	4.14683653333495E-12
0.0036047	8.14020000000001	8.14020000000001E19	-0.500737300344364	2.87334244046472	29.006	-76.2450331628852	-0.0376856343458634	--	--	--	--	--	3.03251331322846E-4
0.0043257	8.14020000000001	8.14020000000001E19	-0.440554889265375	2.81779310144699	28.716	-86.6605569496975	-0.0325152895461148	--	--	--	--	--	7.44178511348351
0.0054071	8.14020000000001	8.14020000000001E19	-0.380997562531524	2.76291657923509	28.426	-100.207286936359	-0.0275720126121149	--	--	--	--	--	3625.86903777288
0.0064885	8.14020000000001	8.14020000000001E19	-0.322065320142813	2.70871287382904	28.136	-118.543443465817	-0.0228499594295161	--	--	--	--	--	577981.838084785
0.00756995	8.14020000000001	8.14020000000001E19	-0.263758162099241	2.65518198522883	27.846	-144.749007070669	-0.0183433519784528	--	--	--	--	--	19329148.5916025
0.0086514	8.14020000000001	8.14020000000001E19	-0.206076088400809	2.60232391343446	27.556	-185.265221049779	-0.0140464783335413	--	--	--	--	--	301996545.577217
0.0093723	8.14020000000001	8.14020000000001E19	-0.149019099047515	2.55013865844592	27.266	-256.20026100464	-0.00995369266387961	--	--	--	--	--	2788343242.22393
0.0104535	8.14020000000001	8.14020000000001E19	-0.0925871940393612	2.49862622026323	26.975	-412.354348425539	-0.00605941523304785	--	--	--	--	--	12611748153.9868
0.011535	8.14020000000001	8.14020000000001E19	-0.0367803733763463	2.44778659888638	26.685	-1038.0191544005	-0.00235813239910787	--	--	--	--	--	77246906413.8577
0.0126165	8.14020000000001	8.14020000000001E19	0.0184013629415292	2.39761979431536	26.395	2074.77740599778	0.00115560338539658	4.55179637617729E17	4.55179637617729E17	1.5079085546271E-161	1.40274343882636E-3	4.3824695024669E-129	301224770414.758
0.013698	8.14020000000001	8.14020000000001E19	0.0729580149142654	2.34812580655019	26.105	523.297297980412	0.00448717357343987	5.70657622166935E16	5.70657622166935E16	1.12141995523086E-58	7.92602168530848E-2	2.89450817845992E-26	944193735811.674
0.014419	8.14020000000001	8.14020000000001E19	0.126889582541862	2.29930463559086	25.815	300.881532635305	0.0076418935235145	2.46222061741925E16	2.46222061741925E16	1.16489673792654E-40	1.62880948885671E-1	1.15030139620942E-8	2528186461251.64
0.0155005	8.14020000000001	8.14020000000001E19	0.18019606582432	2.25115628143736	25.525	211.873283115246	0.0106250124996311	1.43973054372426E16	1.43973054372426E16	1.20764824019078E-32	2.24028506611695E-1	0.560797634684705	4821439965691.34
0.016582	8.14020000000001	8.14020000000001E19	0.232877464761639	2.20368074408971	25.235	163.943437419879	0.0134417136713184	9.69600222789011E15	9.69600222789011E15	5.44574671195676E-28	2.68783342131383E-1	13760.8481013985	11545093108800.9
0.017303	8.14020000000001	8.14020000000001E19	0.284933779353818	2.1568780235479	24.945	133.991596774635	0.0160971141136232	7.08766445724269E15	7.08766445724269E15	6.59900118454367E-25	3.0236690549765E-1	10023485.3451286	23569718783457.1
0.0183845	8.14020000000001	8.14020000000001E19	0.336365009600858	2.11074811981192	24.655	113.503875197821	0.0185962648071107	5.46622296084373E15	5.46622296084373E15	1.07319445623595E-22	3.28105572261057E-1	1052123475.44454	36860511975665
0.019466	8.14020000000001	8.14020000000001E19	0.387171155502759	2.06529103288179	24.365	98.6094432088386	0.0209441506378638	4.37806100142652E15	4.37806100142652E15	5.03913307764215E-21	3.48121781920383E-1	33624097982.7482	67829480234991.8
0.020547	8.14020000000001	8.14020000000001E19	0.43735221705952	2.02050676275749	24.075	87.2951606998573	0.0231456903974838	3.60636044124146E15	3.60636044124146E15	1.03418223966396E-19	3.63817920546704E-1	489349809483.7	113296173693532
0.021628	8.14020000000001	8.14020000000001E19	0.486908194271142	1.97639530943904	23.785	78.4105351272632	0.0252057367830901	3.03578655634902E15	3.03578655634902E15	1.18579574940902E-18	3.76155392530544E-1	4110736585792.37	176836972411933
